playerID,yearID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,GS,InnOuts,PO,A,E,DP,PB,WP,awardID,lgID,tie,notes,Award_Category
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,TSN Major League Player of the Year,ML,,,Not All-Star
altuvjo01,2018,137,,534,84,169,29,2,13,61,17,4,55,79,4,6,3,1,17,,130,3410,159,262,7,63,,,Silver Slugger,AL,,2B,Not All-Star
altuvjo01,2018,137,,534,84,169,29,2,13,61,17,4,55,79,4,6,3,1,17,,130,3410,159,262,7,63,,,TSN All-Star,AL,,2B,All-Star
altuvjo01,2019,124,,500,89,149,27,3,31,74,6,5,41,82,0,3,1,3,19,,119,3071,128,257,11,49,,,ALCS MVP,AL,,,Not All-Star
altuvjo01,2019,124,,500,89,149,27,3,31,74,6,5,41,82,0,3,1,3,19,,119,3071,128,257,11,49,,,All-MLB Team - Second Team,ML,,2B,Not All-Star
altuvjo01,2019,124,,500,89,149,27,3,31,74,6,5,41,82,0,3,1,3,19,,119,3071,128,257,11,49,,,All-MLB Team - Second Team,ML,,2B,Not All-Star
altuvjo01,2019,124,,500,89,149,27,3,31,74,6,5,41,82,0,3,1,3,19,,0,6,0,0,1,0,,,ALCS MVP,AL,,,Not All-Star
altuvjo01,2019,124,,500,89,149,27,3,31,74,6,5,41,82,0,3,1,3,19,,0,6,0,0,1,0,,,All-MLB Team - Second Team,ML,,2B,Not All-Star
altuvjo01,2019,124,,500,89,149,27,3,31,74,6,5,41,82,0,3,1,3,19,,0,6,0,0,1,0,,,All-MLB Team - Second Team,ML,,2B,Not All-Star
altuvjo01,2022,141,,527,103,158,39,0,28,57,18,1,66,87,2,10,0,1,13,,135,3451,159,269,9,67,,,All-MLB Team - First Team,ML,,2B,Not All-Star
altuvjo01,2022,141,,527,103,158,39,0,28,57,18,1,66,87,2,10,0,1,13,,135,3451,159,269,9,67,,,All-MLB Team - First Team,ML,,2B,Not All-Star
altuvjo01,2022,141,,527,103,158,39,0,28,57,18,1,66,87,2,10,0,1,13,,135,3451,159,269,9,67,,,Silver Slugger,AL,,2B,Not All-Star
